# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,
# Sat Aug  9 09:03:26 2025,,,,,,,,
#,,,,,,,,
# User preference: *,,,,,,,,
#,,,,,,,,
# CONSTRAINT:  where (sy_snum = 1,,,,,,,,
# CONSTRAINT:  and sy_pnum >= 5,,,,,,,,
# CONSTRAINT:  and soltype like '%confirmed%'),,,,,,,,
#,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,
# COLUMN soltype:        Solution Type,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,
#,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
HD 10180 c,HD 10180,1,6,Published Confirmed,5.75979,0.00062,-0.00062,0
HD 10180 d,HD 10180,1,6,Published Confirmed,16.3579,0.0038,-0.0038,0
HD 10180 e,HD 10180,1,6,Published Confirmed,49.745,0.022,-0.022,0
HD 10180 f,HD 10180,1,6,Published Confirmed,122.76,0.17,-0.17,0
HD 10180 g,HD 10180,1,6,Published Confirmed,601.2,8.1,-8.1,0
HD 10180 h,HD 10180,1,6,Published Confirmed,2222,91,-91,0
HD 108236 b,HD 108236,1,5,Published Confirmed,3.795963,0.000025,-0.000034,0
HD 108236 c,HD 108236,1,5,Published Confirmed,6.203449,0.000049,-0.000046,0
HD 108236 d,HD 108236,1,5,Published Confirmed,14.175685,0.000083,-0.0001,0
HD 108236 e,HD 108236,1,5,Published Confirmed,19.590025,0.000083,-0.000089,0
HD 108236 f,HD 108236,1,5,Published Confirmed,29.54115,0.00033,-0.00042,0
HD 158259 b,HD 158259,1,5,Published Confirmed,2.178,0.00009,-0.0001,0
HD 158259 c,HD 158259,1,5,Published Confirmed,3.432,0.0003,-0.00016,0
HD 158259 d,HD 158259,1,5,Published Confirmed,5.1980814,0.0008186,-0.0008814,0
HD 158259 e,HD 158259,1,5,Published Confirmed,7.951,0.0022,-0.0021,0
HD 158259 f,HD 158259,1,5,Published Confirmed,12.028,0.009,-0.009,0
HD 191939 b,HD 191939,1,6,Published Confirmed,8.880403,0.00007,-0.00007,0
HD 191939 c,HD 191939,1,6,Published Confirmed,28.57968,0.00016,-0.00016,0
HD 191939 d,HD 191939,1,6,Published Confirmed,38.3561,0.0012,-0.0012,0
HD 191939 e,HD 191939,1,6,Published Confirmed,101.7,0.08,-0.08,0
HD 191939 f,HD 191939,1,6,Published Confirmed,2898,152,-152,0
HD 191939 g,HD 191939,1,6,Published Confirmed,288.6,7.1,-7.1,0
HD 219134 b,HD 219134,1,6,Published Confirmed,3.0929338,0.0000017,-0.0000017,0
HD 219134 c,HD 219134,1,6,Published Confirmed,6.765149,0.000033,-0.000036,0
HD 219134 d,HD 219134,1,6,Published Confirmed,46.71,0.01,-0.01,0
HD 219134 f,HD 219134,1,6,Published Confirmed,22.805,0.005,-0.005,0
HD 219134 g,HD 219134,1,6,Published Confirmed,94.2,0.2,-0.2,0
HD 219134 h,HD 219134,1,6,Published Confirmed,2104,16,-17,0
HD 23472 b,HD 23472,1,5,Published Confirmed,17.667087,0.000042,-0.000042,0
HD 23472 c,HD 23472,1,5,Published Confirmed,29.79749,0.00013,-0.00014,0
HD 23472 d,HD 23472,1,5,Published Confirmed,3.97664,0.00003,-0.000044,0
HD 23472 e,HD 23472,1,5,Published Confirmed,7.90754,0.00011,-0.00011,0
HD 23472 f,HD 23472,1,5,Published Confirmed,12.1621839,0.00012,-0.000099,0
HD 34445 b,HD 34445,1,6,Published Confirmed,1056.7,4.7,-4.7,0
HD 34445 c,HD 34445,1,6,Published Confirmed,214.67,0.45,-0.45,0
HD 34445 d,HD 34445,1,6,Published Confirmed,117.87,0.18,-0.18,0
HD 34445 e,HD 34445,1,6,Published Confirmed,49.175,0.045,-0.045,0
HD 34445 f,HD 34445,1,6,Published Confirmed,676.8,7.9,-7.9,0
HD 34445 g,HD 34445,1,6,Published Confirmed,5700,1500,-1500,0
HD 40307 b,HD 40307,1,5,Published Confirmed,4.3115,0.00027,-0.00027,0
HD 40307 c,HD 40307,1,5,Published Confirmed,9.6183,0.0016825,-0.0016825,0
HD 40307 d,HD 40307,1,5,Published Confirmed,20.432,0.022,-0.024,0
HD 40307 f,HD 40307,1,5,Published Confirmed,51.56,0.14,-0.14,0
HD 40307 g,HD 40307,1,5,Published Confirmed,196.343,2.1817,-2.1817,0
K2-138 b,K2-138,1,6,Published Confirmed,2.35309,0.00022,-0.00022,0
K2-138 c,K2-138,1,6,Published Confirmed,3.56004,0.00012,-0.00011,0
K2-138 d,K2-138,1,6,Published Confirmed,5.40479,0.00021,-0.00021,0
K2-138 e,K2-138,1,6,Published Confirmed,8.26146,0.00021,-0.00022,0
K2-138 f,K2-138,1,6,Published Confirmed,12.75758,0.0005,-0.00048,0
K2-138 g,K2-138,1,6,Published Confirmed,41.96645,0.00603,-0.00665,0
K2-268 b,K2-268,1,5,Published Confirmed,2.151676,0.000005,-0.000006,0
K2-268 c,K2-268,1,5,Published Confirmed,9.327527,0.000021,-0.00002,0
K2-268 d,K2-268,1,5,Published Confirmed,4.528598,0.000016,-0.000015,0
K2-268 e,K2-268,1,5,Published Confirmed,6.131243,0.000032,-0.000033,0
K2-268 f,K2-268,1,5,Published Confirmed,26.27057,0.000105,-0.000109,0
K2-384 b,K2-384,1,5,Published Confirmed,2.231527,0.000194,-0.000325,0
K2-384 c,K2-384,1,5,Published Confirmed,4.194766,0.000309,-0.000189,0
K2-384 d,K2-384,1,5,Published Confirmed,6.679582,0.000719,-0.000498,0
K2-384 e,K2-384,1,5,Published Confirmed,9.715043,0.001003,-0.000739,0
K2-384 f,K2-384,1,5,Published Confirmed,13.62749,0.000342,-0.000574,0
KOI-351 b,KOI-351,1,8,Published Confirmed,7.008151,0.000019,-0.000019,0
KOI-351 c,KOI-351,1,8,Published Confirmed,8.719375,0.000027,-0.000027,0
KOI-351 d,KOI-351,1,8,Published Confirmed,59.73721246,0.00000708,-0.00000708,0
KOI-351 e,KOI-351,1,8,Published Confirmed,91.93933735,0.0000095,-0.0000095,0
KOI-351 f,KOI-351,1,8,Published Confirmed,124.9134973,0.000377974,-0.000377974,0
KOI-351 g,KOI-351,1,8,Published Confirmed,210.5935133,0.00001099,-0.00001099,0
KOI-351 h,KOI-351,1,8,Published Confirmed,331.60059,0.00037,-0.00037,0
Kepler-102 b,Kepler-102,1,5,Published Confirmed,5.28695437,0.00002538,-0.00002538,0
Kepler-102 c,Kepler-102,1,5,Published Confirmed,7.07136076,0.00002571,-0.00002571,0
Kepler-102 d,Kepler-102,1,5,Published Confirmed,10.31173752,0.00001028,-0.00001028,0
Kepler-102 e,Kepler-102,1,5,Published Confirmed,16.14569077,0.000006645,-0.000006645,0
Kepler-102 f,Kepler-102,1,5,Published Confirmed,27.4536,,,0
Kepler-11 b,Kepler-11,1,6,Published Confirmed,10.30400497,0.00001694,-0.00001694,0
Kepler-11 c,Kepler-11,1,6,Published Confirmed,13.02492819,0.000013,-0.000013,0
Kepler-11 d,Kepler-11,1,6,Published Confirmed,22.68714105,0.00002508,-0.00002508,0
Kepler-11 e,Kepler-11,1,6,Published Confirmed,31.99550624,0.00002842,-0.00002842,0
Kepler-11 f,Kepler-11,1,6,Published Confirmed,46.68684772,0.000151186,-0.000151186,0
Kepler-11 g,Kepler-11,1,6,Published Confirmed,118.3782489,0.00000349,-0.00000349,0
Kepler-122 b,Kepler-122,1,5,Published Confirmed,5.76616658,0.00001111,-0.00001111,0
Kepler-122 c,Kepler-122,1,5,Published Confirmed,12.46599556,0.000005611,-0.000005611,0
Kepler-122 d,Kepler-122,1,5,Published Confirmed,21.58704822,0.00000944,-0.00000944,0
Kepler-122 e,Kepler-122,1,5,Published Confirmed,37.99461932,0.000146719,-0.000146719,0
Kepler-122 f,Kepler-122,1,5,Published Confirmed,56.26038914,0.00000412,-0.00000412,0
Kepler-150 b,Kepler-150,1,5,Published Confirmed,3.42804168,0.00001268,-0.00001268,0
Kepler-150 c,Kepler-150,1,5,Published Confirmed,7.381977254,0.000006182,-0.000006182,0
Kepler-150 d,Kepler-150,1,5,Published Confirmed,12.56092796,0.00002225,-0.00002225,0
Kepler-150 e,Kepler-150,1,5,Published Confirmed,30.82613819,0.00000531,-0.00000531,0
Kepler-150 f,Kepler-150,1,5,Published Confirmed,637.2093,0.0169,-0.0154,0
Kepler-154 b,Kepler-154,1,5,Published Confirmed,33.04043258,0.00000568,-0.00000568,0
Kepler-154 c,Kepler-154,1,5,Published Confirmed,62.30261745,0.00000393,-0.00000393,0
Kepler-154 d,Kepler-154,1,5,Published Confirmed,20.54981883,0.00002572,-0.00002572,0
Kepler-154 e,Kepler-154,1,5,Published Confirmed,3.93276465,0.00001225,-0.00001225,0
Kepler-154 f,Kepler-154,1,5,Published Confirmed,9.91935684,0.00007788,-0.00007788,0
Kepler-169 b,Kepler-169,1,5,Published Confirmed,3.25058053,0.00001166,-0.00001166,0
Kepler-169 c,Kepler-169,1,5,Published Confirmed,6.19543693,0.00002503,-0.00002503,0
Kepler-169 d,Kepler-169,1,5,Published Confirmed,8.34818817,0.00003047,-0.00003047,0
Kepler-169 e,Kepler-169,1,5,Published Confirmed,13.76708539,0.00003103,-0.00003103,0
Kepler-169 f,Kepler-169,1,5,Published Confirmed,87.09046342,0.0000039,-0.0000039,0
Kepler-186 b,Kepler-186,1,5,Published Confirmed,3.886789356,0.000005892,-0.000005892,0
Kepler-186 c,Kepler-186,1,5,Published Confirmed,7.26730117,0.00001089,-0.00001089,0
Kepler-186 d,Kepler-186,1,5,Published Confirmed,13.34300789,0.00002404,-0.00002404,0
Kepler-186 e,Kepler-186,1,5,Published Confirmed,22.40777444,0.00006784,-0.00006784,0
Kepler-186 f,Kepler-186,1,5,Published Confirmed,129.9425112,0.000513132,-0.000513132,0
Kepler-238 b,Kepler-238,1,5,Published Confirmed,2.09081565,0.00001034,-0.00001034,0
Kepler-238 c,Kepler-238,1,5,Published Confirmed,6.15555756,0.0000276,-0.0000276,0
Kepler-238 d,Kepler-238,1,5,Published Confirmed,13.23356008,0.00005022,-0.00005022,0
Kepler-238 e,Kepler-238,1,5,Published Confirmed,23.65368621,0.0000171,-0.0000171,0
Kepler-238 f,Kepler-238,1,5,Published Confirmed,50.44727195,0.00001573,-0.00001573,0
Kepler-292 b,Kepler-292,1,5,Published Confirmed,2.58082149,0.00001228,-0.00001228,0
Kepler-292 c,Kepler-292,1,5,Published Confirmed,3.71545391,0.00001934,-0.00001934,0
Kepler-292 d,Kepler-292,1,5,Published Confirmed,7.0556671,0.00002268,-0.00002268,0
Kepler-292 e,Kepler-292,1,5,Published Confirmed,11.978822,0.00005722,-0.00005722,0
Kepler-292 f,Kepler-292,1,5,Published Confirmed,20.83419383,0.00000758,-0.00000758,0
Kepler-32 b,Kepler-32,1,5,Published Confirmed,5.901282819,0.000006237,-0.000006237,0
Kepler-32 c,Kepler-32,1,5,Published Confirmed,8.75210645,0.00001454,-0.00001454,0
Kepler-32 d,Kepler-32,1,5,Published Confirmed,22.78076945,0.00004224,-0.00004224,0
Kepler-32 e,Kepler-32,1,5,Published Confirmed,2.896013787,0.000004215,-0.000004215,0
Kepler-32 f,Kepler-32,1,5,Published Confirmed,0.742958836,0.00000063,-0.00000063,0
Kepler-33 b,Kepler-33,1,5,Published Confirmed,5.66815436,0.00004295,-0.00004295,0
Kepler-33 c,Kepler-33,1,5,Published Confirmed,13.17556672,0.00005714,-0.00005714,0
Kepler-33 d,Kepler-33,1,5,Published Confirmed,21.77568751,0.00003731,-0.00003731,0
Kepler-33 e,Kepler-33,1,5,Published Confirmed,31.78476785,0.00009714,-0.00009714,0
Kepler-33 f,Kepler-33,1,5,Published Confirmed,41.02813945,0.00000993,-0.00000993,0
Kepler-55 b,Kepler-55,1,5,Published Confirmed,27.9653169,0.00003599,-0.00003599,0
Kepler-55 c,Kepler-55,1,5,Published Confirmed,42.12447819,0.00004993,-0.00004993,0
Kepler-55 d,Kepler-55,1,5,Published Confirmed,2.211122847,0.000003754,-0.000003754,0
Kepler-55 e,Kepler-55,1,5,Published Confirmed,4.61746693,0.00001782,-0.00001782,0
Kepler-55 f,Kepler-55,1,5,Published Confirmed,10.19851808,0.00004897,-0.00004897,0
Kepler-62 b,Kepler-62,1,5,Published Confirmed,5.714890717,0.000006805,-0.000006805,0
Kepler-62 c,Kepler-62,1,5,Published Confirmed,12.44212676,0.000110794,-0.000110794,0
Kepler-62 d,Kepler-62,1,5,Published Confirmed,18.16407876,0.00001761,-0.00001761,0
Kepler-62 e,Kepler-62,1,5,Published Confirmed,122.3871881,0.00000454,-0.00000454,0
Kepler-62 f,Kepler-62,1,5,Published Confirmed,267.283301,0.004543,-0.004543,0
Kepler-80 b,Kepler-80,1,6,Published Confirmed,7.053514449,0.000006113,-0.000006113,0
Kepler-80 c,Kepler-80,1,6,Published Confirmed,9.521650159,0.000009387,-0.000009387,0
Kepler-80 d,Kepler-80,1,6,Published Confirmed,3.072149196,0.000005712,-0.000005712,0
Kepler-80 e,Kepler-80,1,6,Published Confirmed,4.645397088,0.00000982,-0.00000982,0
Kepler-80 f,Kepler-80,1,6,Published Confirmed,0.986787059,0.000001576,-0.000001576,0
Kepler-80 g,Kepler-80,1,6,Published Confirmed,14.6456,0.00012,-0.00012,0
Kepler-82 b,Kepler-82,1,5,Published Confirmed,26.44435456,0.00003943,-0.00003943,0
Kepler-82 c,Kepler-82,1,5,Published Confirmed,51.53998542,0.00005936,-0.00005936,0
Kepler-82 d,Kepler-82,1,5,Published Confirmed,2.382952186,0.000003052,-0.000003052,0
Kepler-82 e,Kepler-82,1,5,Published Confirmed,5.902246921,0.000007372,-0.000007372,0
Kepler-82 f,Kepler-82,1,5,Published Confirmed,75.732,0.012,-0.012,0
Kepler-84 b,Kepler-84,1,5,Published Confirmed,8.72585936,0.00003188,-0.00003188,0
Kepler-84 c,Kepler-84,1,5,Published Confirmed,12.88296485,0.0000737,-0.0000737,0
Kepler-84 d,Kepler-84,1,5,Published Confirmed,4.22451369,0.00002531,-0.00002531,0
Kepler-84 e,Kepler-84,1,5,Published Confirmed,27.43467112,0.00000621,-0.00000621,0
Kepler-84 f,Kepler-84,1,5,Published Confirmed,44.55148169,0.00001551,-0.00001551,0
Kepler-90 i,KOI-351,1,8,Published Confirmed,14.44912,0.0002,-0.0002,0
TOI-1136 b,TOI-1136,1,6,Published Confirmed,4.17278,0.00024,-0.00018,0
TOI-1136 c,TOI-1136,1,6,Published Confirmed,6.25725,0.00017,-0.00025,0
TOI-1136 d,TOI-1136,1,6,Published Confirmed,12.51937,0.00037,-0.00041,0
TOI-1136 e,TOI-1136,1,6,Published Confirmed,18.7992,0.0017,-0.0015,0
TOI-1136 f,TOI-1136,1,6,Published Confirmed,26.317822,0.000053,-0.000053,0
TOI-1136 g,TOI-1136,1,6,Published Confirmed,39.545,0.002,-0.002,0
TOI-178 b,TOI-178,1,6,Published Confirmed,1.914558,0.000018,-0.000018,0
TOI-178 c,TOI-178,1,6,Published Confirmed,3.23845,0.00002,-0.000019,0
TOI-178 d,TOI-178,1,6,Published Confirmed,6.5577,0.000016,-0.000016,0
TOI-178 e,TOI-178,1,6,Published Confirmed,9.961881,0.000042,-0.000042,0
TOI-178 f,TOI-178,1,6,Published Confirmed,15.231915,0.000115,-0.000095,0
TOI-178 g,TOI-178,1,6,Published Confirmed,20.7095,0.00014,-0.00011,0
TRAPPIST-1 b,TRAPPIST-1,1,7,Published Confirmed,1.51087081,0.0000006,-0.0000006,0
TRAPPIST-1 c,TRAPPIST-1,1,7,Published Confirmed,2.42179346,0.00000023,-0.00000023,0
TRAPPIST-1 d,TRAPPIST-1,1,7,Published Confirmed,4.04978035,0.00000266,-0.00000266,0
TRAPPIST-1 e,TRAPPIST-1,1,7,Published Confirmed,6.09956479,0.00000178,-0.00000178,0
TRAPPIST-1 f,TRAPPIST-1,1,7,Published Confirmed,9.20659399,0.00000212,-0.00000212,0
TRAPPIST-1 g,TRAPPIST-1,1,7,Published Confirmed,12.3535557,0.00000341,-0.00000341,0
TRAPPIST-1 h,TRAPPIST-1,1,7,Published Confirmed,18.7672745,0.00001876,-0.00001876,0
